,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
0,kUtPmQSVMskGv6hWJGqhFg,Robinson Township Library,"1000 Church Hill Rd, Ste 3",Pittsburgh,PA,15205,40.438552,-80.1439923,3.0,3,1,"{'WiFi': ""'free'""}","Public Services & Government, Libraries",
1,ZLcaRxAJAr9wlxrRZJ4xRg,Hinckley Lake Boathouse,1 West Dr,Hinckley,OH,44233,41.218434,-81.716726,4.5,7,1,"{'GoodForKids': 'True', 'DogsAllowed': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Active Life, Boating",
2,cvIFiAjD2449OufXkAOEVw,Odyssey Veterinary Care,2934 Chapel Valley Rd,Fitchburg,WI,53711,43.0142445,-89.4308839,5.0,15,1,,"Pets, Pet Services, Veterinarians","{'Monday': '8:0-20:0', 'Tuesday': '8:0-20:0', 'Wednesday': '8:0-20:0', 'Thursday': '8:0-20:0', 'Friday': '8:0-18:0', 'Saturday': '9:0-13:0'}"
3,7MOYd-vtSgc5ZARyyqC4bA,The Windmill Restaurant,1033 Bay St,Toronto,ON,M5S,43.666067,-79.3877189,5.0,3,0,"{'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'True'}","Mediterranean, Restaurants, Middle Eastern, Food",
4,0ZPuFZMMYfRa3FRfjddCDA,The Spread Buffet,100 Public Sq,Cleveland,OH,44113,41.4986969,-81.6931494,2.5,36,1,"{'BikeParking': 'False', 'NoiseLevel': ""u'average'"", 'WiFi': ""u'no'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': True}"", 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'GoodForKids': 'False', 'RestaurantsTakeOut': 'False', 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'none'"", 'Caters': 'False', 'HasTV': 'True'}","Buffets, Restaurants, Food","{'Monday': '8:0-22:0', 'Tuesday': '8:0-22:0', 'Wednesday': '8:0-22:0', 'Thursday': '8:0-22:0', 'Friday': '8:0-22:0', 'Saturday': '8:0-22:0', 'Sunday': '8:0-22:0'}"
5,-hXocgx4xqs9dv_l0jiZZg,Rawlicious,785 Bathurst Street,Toronto,ON,M5S 0B7,43.6646402,-79.41087,4.5,9,0,"{'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '2', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'HasTV': 'False', 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'none'"", 'RestaurantsDelivery': 'False', 'NoiseLevel': ""u'quiet'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'DietaryRestrictions': ""{'dairy-free': False, 'gluten-free': False, 'vegan': True, 'kosher': False, 'halal': False, 'soy-free': False, 'vegetarian': False}"", 'RestaurantsTableService': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'WiFi': ""u'no'"", 'OutdoorSeating': 'False'}","Desserts, Salad, Juice Bars & Smoothies, Food, Vegetarian, Vegan, Gluten-Free, Restaurants","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '12:0-17:0'}"
6,T96EG2iK3ZSv9ACiSFw4cw,Fuji Sushi & Grill,6093 Steubenville Pike,McKees Rocks,PA,15136,40.4440194463,-80.1461382564,3.5,59,1,"{'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Alcohol': ""u'none'"", 'RestaurantsDelivery': 'False', 'RestaurantsReservations': 'False', 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'WiFi': ""'no'"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True', 'NoiseLevel': ""u'quiet'"", 'RestaurantsAttire': ""u'casual'"", 'Caters': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsTakeOut': 'True'}","Restaurants, Sushi Bars","{'Monday': '11:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-21:30', 'Saturday': '11:0-21:30'}"
7,KpbJxi5W-9s97eJGm-zcGA,Liberation Acne Clinic,3614 N 24th St,Phoenix,AZ,85016,33.4899828318,-112.0304950512,5.0,8,1,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}","Acne Treatment, Eyebrow Services, Beauty & Spas, Skin Care","{'Monday': '0:0-0:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-19:0', 'Saturday': '9:0-16:0'}"
8,kAA4qdatvkQxwtGNAouArQ,Blow Dry Bar by Kimberly,"15425 N Scottsdale Rd, Ste 103",Scottsdale,AZ,85254,33.6261085,-111.9245909,3.5,7,0,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '1'}","Hair Salons, Blow Dry/Out Services, Beauty & Spas","{'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '8:0-19:0', 'Saturday': '8:0-19:0'}"
9,9qF12sZ6dxDrUcFKMG4gTQ,"Ahmad Lubna, MD, Face","7010 Smoke Ranch Rd, Ste 100",Las Vegas,NV,89128,36.2036953,-115.2463899,1.5,23,1,"{'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True'}","Endocrinologists, Doctors, Health & Medical","{'Monday': '8:0-16:30', 'Tuesday': '8:0-16:30', 'Wednesday': '8:0-16:30', 'Thursday': '8:0-16:30', 'Friday': '8:0-16:30'}"
